#Hovefoss, 84.11.0, Vannføring, dogn
Tidspunkt;Vannføring (m³/s);Korrigert;Kontrollert
2019-06-24 11:00:00Z;25,17658;0;3
2019-06-25 11:00:00Z;16,34674;0;3
2019-06-26 11:00:00Z;12,97503;0;3
2019-06-27 11:00:00Z;10,08331;0;3
2019-06-28 11:00:00Z;8,189472;0;3
2019-06-29 11:00:00Z;7,116757;0;3
2019-06-30 11:00:00Z;15,56438;0;3
2019-07-01 11:00:00Z;55,16343;0;3
2019-07-02 11:00:00Z;38,02039;0;3
2019-07-03 11:00:00Z;37,27085;0;3
2019-07-04 11:00:00Z;48,34488;0;3
2019-07-05 11:00:00Z;22,04307;0;3
2019-07-06 11:00:00Z;13,84779;0;3
2019-07-07 11:00:00Z;10,22768;0;3
2019-07-08 11:00:00Z;8,202887;0;3
2019-07-09 11:00:00Z;6,856522;0;3
2019-07-10 11:00:00Z;6,05049;0;3
2019-07-11 11:00:00Z;5,251795;0;3
2019-07-12 11:00:00Z;4,689556;0;3
2019-07-13 11:00:00Z;4,246524;0;3
2019-07-14 11:00:00Z;3,819628;0;3
2019-07-15 11:00:00Z;3,452;0;3
2019-07-16 11:00:00Z;3,129704;0;3
2019-07-17 11:00:00Z;2,843459;0;3
2019-07-18 11:00:00Z;2,652015;0;3
2019-07-19 11:00:00Z;2,989987;0;3
2019-07-20 11:00:00Z;3,007304;0;3
2019-07-21 11:00:00Z;6,812896;0;3
2019-07-22 11:00:00Z;9,49716;0;3
